"ENTIDAD","FECHA","MUNICIPIO","CLAVE_ENTIDAD","CLAVE_MUNICIPIO","region","POBLACION","LATITUD","LONGITUD","Casos","Tasa_Casos_Positivos","Defunciones","Tasa_Defunciones","Negativos","Tasa_Casos_Negativos","Sospechosos","Tasa_Casos_Sospechosos"
"CIUDAD DE MEXICO",2020-06-02,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,67,8.82581141480392,13,1.71247087152912,43,5.66432672890401,6,0.790371171474977
"CIUDAD DE MEXICO",2020-06-03,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,75,9.87963964343722,6,0.790371171474977,53,6.98161201469563,11,1.44901381437079
"CIUDAD DE MEXICO",2020-06-04,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,74,9.74791111485806,9,1.18555675721247,68,8.95753994338308,13,1.71247087152912
"CIUDAD DE MEXICO",2020-06-05,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,64,8.43062582906643,11,1.44901381437079,47,6.19124084322066,13,1.71247087152912
"CIUDAD DE MEXICO",2020-06-06,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,98,12.909395800758,13,1.71247087152912,47,6.19124084322066,8,1.0538282286333
"CIUDAD DE MEXICO",2020-06-07,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,51,6.71815495753731,19,2.5028420430041,48,6.32296937179982,9,1.18555675721247
"CIUDAD DE MEXICO",2020-06-08,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,76,10.0113681720164,13,1.71247087152912,58,7.64025465759145,17,2.23938498584577
"CIUDAD DE MEXICO",2020-06-09,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,51,6.71815495753731,9,1.18555675721247,65,8.56235435764559,15,1.97592792868744
"CIUDAD DE MEXICO",2020-06-10,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,91,11.9872961007038,12,1.58074234294995,107,14.0949525579704,10,1.31728528579163
"CIUDAD DE MEXICO",2020-06-11,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,48,6.32296937179982,8,1.0538282286333,44,5.79605525748317,11,1.44901381437079
"CIUDAD DE MEXICO",2020-06-12,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,66,8.69408288622475,9,1.18555675721247,75,9.87963964343722,4,0.526914114316652
"CIUDAD DE MEXICO",2020-06-13,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,43,5.66432672890401,12,1.58074234294995,48,6.32296937179982,6,0.790371171474977
"CIUDAD DE MEXICO",2020-06-14,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,48,6.32296937179982,7,0.92209970005414,66,8.69408288622475,9,1.18555675721247
"CIUDAD DE MEXICO",2020-06-15,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,73,9.61618258627889,12,1.58074234294995,120,15.8074234294996,12,1.58074234294995
"CIUDAD DE MEXICO",2020-06-16,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,65,8.56235435764559,10,1.31728528579163,79,10.4065537577539,15,1.97592792868744
"CIUDAD DE MEXICO",2020-06-17,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,39,5.13741261458735,7,0.92209970005414,75,9.87963964343722,7,0.92209970005414
"CIUDAD DE MEXICO",2020-06-18,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,79,10.4065537577539,11,1.44901381437079,78,10.2748252291747,10,1.31728528579163
"CIUDAD DE MEXICO",2020-06-19,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,46,6.05951231464149,3,0.395185585737489,177,23.3159495585118,9,1.18555675721247
"CIUDAD DE MEXICO",2020-06-20,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,93,12.2507531578622,3,0.395185585737489,129,16.992980186712,10,1.31728528579163
"CIUDAD DE MEXICO",2020-06-21,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,38,5.00568408600819,8,1.0538282286333,76,10.0113681720164,6,0.790371171474977
"CIUDAD DE MEXICO",2020-06-22,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,77,10.1430967005955,6,0.790371171474977,123,16.202609015237,11,1.44901381437079
"CIUDAD DE MEXICO",2020-06-23,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,54,7.1133405432748,4,0.526914114316652,58,7.64025465759145,5,0.658642642895815
"CIUDAD DE MEXICO",2020-06-24,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,43,5.66432672890401,10,1.31728528579163,64,8.43062582906643,9,1.18555675721247
"CIUDAD DE MEXICO",2020-06-25,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,73,9.61618258627889,8,1.0538282286333,127,16.7295231295537,12,1.58074234294995
"CIUDAD DE MEXICO",2020-06-26,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,60,7.90371171474978,5,0.658642642895815,120,15.8074234294996,11,1.44901381437079
